Reviews,Delivery,Customer Service,Purchase Date,LikeliHood To Recommend,Overall Satisfaction,Location,Date Published
Easy purchase and arranging delivery. Great app to see where it was on the day,2,2,22 September 2017,100%,OverallSatisfied,Trowbridge,07 October 2017
great service and help no problem with purchase,2,2,22 September 2017,100%,OverallSatisfied,catrine,07 October 2017
For excellent service,2,2,21 September 2017,100%,OverallSatisfied,"Marlborough,  Wilts.",30 November 2017
"Order dealt with quickly and efficiently, delivered promptly for fitting by our engineer.",2,2,21 September 2017,100%,OverallSatisfied,"HAYLE, Cornwall",17 October 2017
From customer service to delivery and installation brilliant,2,2,21 September 2017,100%,OverallSatisfied,Lewes,07 October 2017
The delivery was between 7-9 am so I did not have to take time off work.,2,2,21 September 2017,100%,OverallSatisfied,King`s lynn,07 October 2017
To give them the chance to see how easy it is,2,2,21 September 2017,80%,OverallSatisfied,Bodmin,07 October 2017
Easiest website I have ever used.,2,2,21 September 2017,100%,OverallSatisfied,Girvan,07 October 2017
I am very happy overall,2,2,21 September 2017,100%,OverallSatisfied,Nairn,07 October 2017
as you are the best,2,2,21 September 2017,100%,OverallSatisfied,hildenborough,07 October 2017
The men gave accurate times well informed.told them I needed fridge freezer in  garage they said no problem carried it round garden up steps all the time saying no problem at all.very kind.10/10 will definitely use again  thank you .,2,2,21 September 2017,100%,OverallSatisfied,Tredegar,07 October 2017
Good price good service,2,2,21 September 2017,100%,OverallSatisfied,Eastleigh,06 October 2017
GREAT SERVICE,2,2,21 September 2017,100%,OverallSatisfied,PILLERTON PRIORS,06 October 2017
Every thing thing was as advertised,2,2,21 September 2017,100%,OverallSatisfied,Stamordant lincs,06 October 2017
Couldn't fault service.,2,2,21 September 2017,100%,OverallSatisfied,Broadhembury,06 October 2017
"Really polite Staff (James and Nick) who fitted the Appliance.  Modified the hinge fittings in the process without drama.  
Product working very well and really pleased with it altogether.
I simply have no Complaints hence the 10/10.
Thank you James and Nick.",2,2,21 September 2017,100%,OverallSatisfied,Derbyshire,06 October 2017
because of the customer service and good delivery service,2,2,20 September 2017,100%,OverallSatisfied,Swansea,09 October 2017
Good service,2,2,20 September 2017,100%,OverallSatisfied,Watchet,07 October 2017
just made it so neasy,2,2,20 September 2017,100%,OverallSatisfied,westwoodside  north lincs,07 October 2017
"delivery was spot on, very helpful",2,2,20 September 2017,100%,OverallSatisfied,east lothian,07 October 2017
"easy to buy - easy to deal with, kept in touch all the way to the delivery time - you have won me away ,from buying from currys  also great price - thanks",2,2,20 September 2017,100%,OverallSatisfied,kings lynn  norfolk,06 October 2017
Good service,2,2,20 September 2017,100%,OverallSatisfied,Northamtonshire,06 October 2017
Delivery without a problem.,2,2,20 September 2017,80%,OverallSatisfied,Canterbury,06 October 2017
Because I am extremely pleased with my purchase and the service I received,2,2,19 September 2017,100%,OverallSatisfied,Bedfordshire,07 October 2017
The immediatness of AO.com's processing my order and also the delivery of the product.,2,2,19 September 2017,90%,OverallSatisfied,"Hatch End, PINNER",07 October 2017
Price & convenience of delivery.,2,2,19 September 2017,90%,OverallSatisfied,Birmingham,06 October 2017
After ordered on line were contacted by phone to confirm delivery time and date .,2,2,19 September 2017,90%,OverallSatisfied,norwich,06 October 2017
Would have liked a little instruction on how to get started,2,2,19 September 2017,60%,OverallSatisfied,Northampon,06 October 2017
ExcellentWhat more can be said .Top notch service with really good delivery and extremely helpful men who delivered the appliance,2,2,19 September 2017,100%,OverallSatisfied,Sheerness,05 October 2017
Had no problems. Accurate information and delivered on time.,2,2,19 September 2017,90%,OverallSatisfied,,05 October 2017
It is worth a 10 no problem.,2,2,19 September 2017,100%,OverallSatisfied,Bath,05 October 2017
Because it gave very good service,2,2,19 September 2017,100%,OverallSatisfied,Boston lincs,04 October 2017
Because they are very very good,2,2,19 September 2017,90%,OverallSatisfied,Pulborough,04 October 2017
i think that has been explained in the first section,2,2,19 September 2017,100%,OverallSatisfied,Marlborough,04 October 2017
"Great tracking and informative as to when the delivery will arrive.
The delivery driver was very polite and sociable and informative as to what to do if there was anything wrong with the product.",2,2,18 September 2017,100%,OverallSatisfied,Huntingdon,14 October 2017
Fast service,2,2,18 September 2017,90%,OverallSatisfied,Cheshunt,11 October 2017
All the above.,2,2,18 September 2017,100%,OverallSatisfied,Darlington,05 October 2017
"The price and service from Ao was first class, the contracted driver courteous with a call 20mins before arriving and helpful when delivering.  

 The hot point washing machine though what a disappointment takes over 4hours to do a 60degree wash, normal 40degree was is 2 hours, with rugby and football being played by our house I always seem to have dirty washing, shame on hotpoint and shame on theUk following the EU rules.  Would highly recommend that you repair your existing machine rather than invest in a new one.  However, if you must buy, then AO seem to be the best on price and service.",2,2,18 September 2017,100%,OverallSatisfied,Port talbot,05 October 2017
I am pleased with microwave but found it difficult to understand settings,2,2,18 September 2017,60%,OverallSatisfied,,05 October 2017
I would recommend AO to my friends but advise them to check the goods thoroughly before accepting them.,2,2,18 September 2017,70%,OverallSatisfied,Maidstone,04 October 2017
Quick & Easy & delivered and did everything.,2,2,18 September 2017,100%,OverallSatisfied,Haslemere,04 October 2017
"very easy, good communication regarding delivery, very pleased all in all, thank you",2,2,18 September 2017,100%,OverallSatisfied,"Whitworth, Rochdale",03 October 2017
happy customer.,2,2,18 September 2017,100%,OverallSatisfied,canvey island,03 October 2017
Same as above,2,2,18 September 2017,100%,OverallSatisfied,north shields,03 October 2017
Fab experience went the extra mile to keep me happy,2,2,18 September 2017,100%,OverallSatisfied,London,03 October 2017
The fridge was a good price. I was given a lot of delivery options and it was very easy to change my delivery slot. The delivery staff were excellent too.,2,2,17 September 2017,100%,OverallSatisfied,Cheltenham,25 October 2017
Very happy with the service from start to finish,2,2,17 September 2017,100%,OverallSatisfied,Clacton-on-Sea,04 October 2017
As above,2,2,17 September 2017,100%,OverallSatisfied,Winchester,03 October 2017
Although the model Washing Machine I ordered was not in stock the working day before delivery a more than suitable upgrade was offered and delivered the Sunday.  The delivery tracking system was excellent and kept updated.,2,2,17 September 2017,100%,OverallSatisfied,Norwich,03 October 2017
"Easy to order and delivery great, no delivery charge which was bonus",2,2,17 September 2017,100%,OverallSatisfied,Marlow,03 October 2017
Arrived on time and put where I needed it no problem.,2,2,17 September 2017,100%,OverallSatisfied,Humberside,02 October 2017
First class service easy to track,2,2,17 September 2017,100%,OverallSatisfied,Cardiff,02 October 2017
"Very good service,already told our friends how impressed we were with you all.",2,2,17 September 2017,100%,OverallSatisfied,STAMFORD,02 October 2017
as above,2,2,16 September 2017,100%,OverallSatisfied,ammanford,07 October 2017
The helpful way it was delivered.,2,2,16 September 2017,100%,OverallSatisfied,"cranfield,beds.",04 October 2017
As above,2,2,16 September 2017,100%,OverallSatisfied,Huddersfield,03 October 2017
Really good all round.  I opted for the full uninstall and disposal of old machine and install new machine.  Delivery as advertised with driver calling as they arrived.,2,2,16 September 2017,80%,OverallSatisfied,London,03 October 2017
I gave you 10/10 because from ordering from you to receiving my order was great,2,2,16 September 2017,100%,OverallSatisfied,Port glasgow,01 October 2017
I ordered you delivered I was happy,2,2,16 September 2017,100%,OverallSatisfied,Grays essex,01 October 2017
All good,2,2,16 September 2017,100%,OverallSatisfied,Essex,01 October 2017
excellent,2,2,15 September 2017,100%,OverallSatisfied,,07 October 2017
"Can't fault anything, the service was great.",2,2,15 September 2017,100%,OverallSatisfied,Grimsby,07 October 2017
great service,2,2,15 September 2017,100%,OverallSatisfied,washington,05 October 2017
"It is so 'refreshing' to find a faultless service, so simple to use with some great support all round.  Prior to ordering with AO - I went to Curry's (never again!)  after 2 hours standing with a saleswoman, trying to put my order through - she informed me that she hadn't noticed that all of my items were in fact ""out of stock"" and could not decide on any reasonable discount for ordering multiple items!  She watched me 'walk away' from a £900 sale without trying to offer me any 'alternatives' ....  absolutely clueless!  Hello AO!",2,2,15 September 2017,100%,OverallSatisfied,Franks,04 October 2017
The cost of the item (around £80 cheaper than a similar model) and the speed with which it arrived was excellent,2,2,15 September 2017,100%,OverallSatisfied,Hitchin,02 October 2017
very pleased all round,2,2,15 September 2017,100%,OverallSatisfied,swansea,02 October 2017
Good order system and very fast delivery. Excellent customer care,2,2,15 September 2017,100%,OverallSatisfied,Barrow in Furness,01 October 2017
was able to order without hassle and track the delivery(they phoned when they were 5 mins away),2,2,15 September 2017,100%,OverallSatisfied,edinburgh,01 October 2017
AO did exactly what they said they would do.,2,2,15 September 2017,100%,OverallSatisfied,woking,30 September 2017
l would recommend AO to my friends,2,2,15 September 2017,100%,OverallSatisfied,tenbury,30 September 2017
Good service all round,2,2,15 September 2017,100%,OverallSatisfied,Shiremoor,30 September 2017
Top class from ordering to delivery just very impressed,2,2,15 September 2017,100%,OverallSatisfied,Liverpool,30 September 2017
You ticked all the boxes,2,2,15 September 2017,100%,OverallSatisfied,Northampton,30 September 2017
Friendly installation- checked working before leaving & checked I knew how to operate,2,2,15 September 2017,100%,OverallSatisfied,Shrewsbury,30 September 2017
customer service were very good and delivery was excellent for a woman on her own needed no help at all even though she had to lift tumble dryer up two steps nothing was a problem to her,2,2,15 September 2017,100%,OverallSatisfied,GATESHEAD,30 September 2017
Extremely helpful staff that went the extra mile to find me a local electrician!,2,2,14 September 2017,100%,OverallSatisfied,Brighton & Hove,12 November 2017
Had what I required delivered the following day between the times specified by the courier,2,2,14 September 2017,100%,OverallSatisfied,Lostock Hall Preston Lancashire,08 October 2017
Quick and easy,2,2,14 September 2017,100%,OverallSatisfied,,05 October 2017
Great service  great price,2,2,14 September 2017,80%,OverallSatisfied,Ipswich,02 October 2017
I thought installation fee rather high for connecting two wires as I was replacing my old oven the wiring was already there and had been checked !,2,2,14 September 2017,80%,OverallSatisfied,Rotherham,01 October 2017
"had a great experience , and item was delivered in under 12h -- that crazy ;)",2,2,14 September 2017,100%,OverallSatisfied,Croydon,01 October 2017
It was fantastic service.,2,2,14 September 2017,100%,OverallSatisfied,"Burntwood, Staffs",30 September 2017
After ordering my frost free freezer I found the exact same one online for £22 cheaper so a quick call to ao customer service and they were happy to refund me the difference. Price match promised. I was very happy and shall definitely use ao in future.,2,2,14 September 2017,100%,OverallSatisfied,"Chard, Somerset",30 September 2017
Easy. Efficient. Timely.  Convenient. Good value for money.,2,2,14 September 2017,100%,OverallSatisfied,,30 September 2017
I have used a cordless vac and it kept wearing out to quickly,2,2,14 September 2017,100%,OverallSatisfied,Bedford,30 September 2017
You did what you said you would. And did it well,2,2,14 September 2017,100%,OverallSatisfied,Forres Moray,30 September 2017
"Good price, good products, excellent service",2,2,14 September 2017,100%,OverallSatisfied,Bexhill,29 September 2017
Great service,2,2,14 September 2017,100%,OverallSatisfied,Burnley,29 September 2017
"all the reasons above
no one is perfect",2,2,14 September 2017,90%,OverallSatisfied,Dorking,29 September 2017
Could not fault service.,2,2,14 September 2017,100%,OverallSatisfied,Redditch,29 September 2017
All went without a hitch from point of ordering to delivery.,2,2,14 September 2017,90%,OverallSatisfied,PONTYPRIDD,29 September 2017
The service was first class and the website is very easy to follow.,2,2,14 September 2017,100%,OverallSatisfied,LEEDS,29 September 2017
Good price delivered on time well done,2,2,14 September 2017,90%,OverallSatisfied,leeds,29 September 2017
Required customer service after my purchase and the operator was very considerate and helpful and kept me informed.,2,2,13 September 2017,100%,OverallSatisfied,London,03 November 2017
"Only reason not a 10 -  based on my personal taste, is to lessen the 'sell' for extended warranties and additional stuff.",2,2,13 September 2017,90%,OverallSatisfied,Dereham,14 October 2017
Well tracked delivery.,2,2,13 September 2017,90%,OverallSatisfied,FERNDOWN,01 October 2017
As above,2,2,13 September 2017,70%,OverallSatisfied,christchurch,30 September 2017
"Speedy service, competitive pricing",2,2,13 September 2017,100%,OverallSatisfied,Torryburn,30 September 2017
because that's what it was,2,2,13 September 2017,80%,OverallSatisfied,"Worthing, West  Sussex",30 September 2017
ao  have always been good,2,2,13 September 2017,100%,OverallSatisfied,st leonards on sea,29 September 2017
as I have said could not have being any better. no negatives what so ever.,2,2,13 September 2017,100%,OverallSatisfied,stoke-on-trent,29 September 2017
Very easy to use. Would buy from them again.,2,2,13 September 2017,100%,OverallSatisfied,Somerset,29 September 2017
Really pleased with the service,2,2,13 September 2017,100%,OverallSatisfied,Exeter,29 September 2017
Because of the good service and price,2,2,13 September 2017,100%,OverallSatisfied,Radley,29 September 2017
Delivered order as specified on the date and in time slot agreed.,2,2,13 September 2017,100%,OverallSatisfied,Surrey,29 September 2017
"easy to select item, great descriptions of items and easy purchase and well informative try delivery of my hoover",2,2,13 September 2017,100%,OverallSatisfied,reading,29 September 2017
Very satisfied with  everything.,2,2,13 September 2017,100%,OverallSatisfied,Leeds,29 September 2017
You did what you promised,2,2,13 September 2017,100%,OverallSatisfied,East Kilbride,28 September 2017
Great service polite staff and delivered on time,2,2,13 September 2017,100%,OverallSatisfied,Newcastle upon tyne,28 September 2017
Seen advert ontv hoover I bought is very good,2,2,13 September 2017,100%,OverallSatisfied,,28 September 2017
I wouldn't hesitate to recommend you to a friend and have already done so,2,2,13 September 2017,100%,OverallSatisfied,Llanfachraeth,28 September 2017
"I’ve learnt a costly lesson from buying online from AO, and going forward I will purchase from physical displayed stock, so that I can check the measurements before committing to a purchase. I’d recommend that prospective purchasers physically check appliance measurements prior to purchase.",2,2,12 September 2017,50%,OverallUnhappy,Hereford,16 October 2017
very pleased with product,2,2,12 September 2017,100%,OverallSatisfied,thatcham,07 October 2017
"As above

We have previously had AO products and every time your delivery people come they are polite and very efficient.",2,2,12 September 2017,100%,OverallSatisfied,Ascot Berkshire,06 October 2017
"Excellent, good customer service, delivery as expected",2,2,12 September 2017,100%,OverallSatisfied,YORK,03 October 2017
As above,2,2,12 September 2017,100%,OverallSatisfied,Meopham,29 September 2017
"trust is hard to get when so many companies try to rip you off or don't want to know when some thing goes wrong ,",2,2,12 September 2017,100%,OverallSatisfied,evesham,28 September 2017
Service was good but never got the discount I should have got,2,2,12 September 2017,80%,OverallSatisfied,Doncaster,27 September 2017
see above,2,2,12 September 2017,100%,OverallSatisfied,beare green,27 September 2017
"I  am pleased with A.O.com. and will use them again.  However, internet shopping is not for everyone.",2,2,12 September 2017,70%,OverallSatisfied,Altrincham.,27 September 2017
"Fast delivery and the guys that did the delivery were super efficient had the old unit away 
And new one fitted in no time
As a first time user of ao I am very impressed",2,2,12 September 2017,100%,OverallSatisfied,High wycombe,26 September 2017
see above,2,2,11 September 2017,100%,OverallSatisfied,Tylorstown,27 September 2017
Every time I have purchased from you always has been a first class service..,2,2,11 September 2017,100%,OverallSatisfied,"Seaford, East Sussex",27 September 2017
Easy to use website and customer service.,2,2,11 September 2017,100%,OverallSatisfied,Caernarfon,26 September 2017
Delivery also quick and easy.,2,2,11 September 2017,100%,OverallSatisfied,Shipdham,26 September 2017
Fast low cost service,2,2,11 September 2017,80%,OverallSatisfied,Gloucester,26 September 2017
"Decided Sunday morning I needed a new fridge freezer, by Monday evening I had my new american drive freezer in my lkitchen",2,2,11 September 2017,100%,OverallSatisfied,Whitchurch,26 September 2017
First class service from start to finish,2,2,11 September 2017,100%,OverallSatisfied,Lyme Regis,26 September 2017
Just excellent service and it arrived almost to the minute that it said,2,2,11 September 2017,100%,OverallSatisfied,Rhyl,26 September 2017
Excellent service,2,2,11 September 2017,100%,OverallSatisfied,Wallington,26 September 2017
Excellent customer service.,2,2,10 September 2017,100%,OverallSatisfied,Stafford,25 October 2017
See comments above,2,2,10 September 2017,100%,OverallSatisfied,Hemel Hempstead,10 October 2017
"Very efficient, fast & great price.",2,2,10 September 2017,100%,OverallSatisfied,Clydebank,01 October 2017
"Would have been a 9 or 10 except:
a) despite being corrected 3 times the representative insisted on calling me ""Sir"". I'm female. Suggests that he wasn't really listening to me.
b) bought the appliance as I'd just moved and there was no under-counter storage for my old fridge and freezer. Paid £86 to have my cooker disconnected at old address and another £86 to have it re-connected at my new address. So when I was offered a charge of £14.99 to connect the fridge-freezer I went for it. Turns out that all that was needed was to put a plug into a socket. Felt ripped-off.",2,2,10 September 2017,80%,OverallSatisfied,Bournemouth,26 September 2017
As above comment,2,2,10 September 2017,100%,OverallSatisfied,Cheltenham,26 September 2017
Excellent service,2,2,10 September 2017,100%,OverallSatisfied,Eastbourne,26 September 2017
"Easy website, the delivery selection wasn't a problem and staff were great. They even waited for me to open my item to check there was nothing wrong with it before they left.",2,2,10 September 2017,100%,OverallSatisfied,Romford,26 September 2017
very pleased,2,2,10 September 2017,90%,OverallSatisfied,loughor. swansea,26 September 2017
Very pleased with how quickly I got my cooker,2,2,10 September 2017,100%,OverallSatisfied,Luton,26 September 2017
The only supplier who could deliver next day at the weekend.,2,2,10 September 2017,100%,OverallSatisfied,London,25 September 2017
I had no faults with the service at all.,2,2,10 September 2017,100%,OverallSatisfied,Ayr,25 September 2017
"Friendly ,speedy and good value for money.",2,2,10 September 2017,100%,OverallSatisfied,GARSTANG,25 September 2017
Can't fault service at all.  Drivers called me to say they were on there way.  Arrived when said.  Very polite and courteous.,2,2,09 September 2017,100%,OverallSatisfied,Shepshed Leicestershire,03 October 2017
"With the price match I was able to get a fridge for a lower price. They were reliable and so helpful in getting the fridge freezer I needed.
That is why I will always use this company from today. Its the best!!!",2,2,09 September 2017,100%,OverallSatisfied,LONDON,27 September 2017
"I found the dishwasher I was looking for on AO.com on the 28.08.17.  but did not try and purchase it until the 05.09.17 . When I found out you did not have any according to your assistant on the phone.

I then tried another search engine which found the product I was looking for ,when I pressed the link it directed me to AO.com.

but I must say you delivered n time and the product is a 10 out of 10 

Thank you",2,2,09 September 2017,70%,OverallSatisfied,Lincoln,26 September 2017
See previous answer.,2,2,08 September 2017,100%,OverallSatisfied,Inverurie,25 September 2017
"The score given is a reflection of the whole 'AO' buying and delivery experience, which was excellent.",2,2,08 September 2017,90%,OverallSatisfied,Newcastle upon Tyne,25 September 2017
"Quik and effecient, staff helpful delivery on time and happy to oblidge",2,2,08 September 2017,100%,OverallSatisfied,,25 September 2017
Couldnt have asked for better service.,2,2,08 September 2017,100%,OverallSatisfied,Harwich,25 September 2017
as a above,2,2,08 September 2017,100%,OverallSatisfied,Selby,24 September 2017
Web site was easy to follow and had a good range of products with an excellent description,2,2,08 September 2017,100%,OverallSatisfied,Oldham,24 September 2017
It was very clear and simple to order.Product description was very good,2,2,08 September 2017,100%,OverallSatisfied,St Albans,23 September 2017
"Fantastic service from beginning to end. Communication was excellent, I was kept up to date on delivery times.",2,2,08 September 2017,100%,OverallSatisfied,Milton Keynes,23 September 2017
Prompt and very helpful,2,2,08 September 2017,90%,OverallSatisfied,,23 September 2017
Efficient ordering and delivery,2,2,08 September 2017,100%,OverallSatisfied,Suffolk,23 September 2017
Everything was sorted without hassle or having to go over everything 3 or 4 times.,2,2,07 September 2017,100%,OverallSatisfied,London,06 October 2017
I had no bother from ordering to delivery,2,2,07 September 2017,100%,OverallSatisfied,Alexandria,26 September 2017
nobody gets a ten,2,2,07 September 2017,90%,OverallSatisfied,newcastle upon tyne,25 September 2017
Total satisfaction.,2,2,07 September 2017,100%,OverallSatisfied,Stoke-On-Trent,24 September 2017
As stated above.,2,2,07 September 2017,80%,OverallSatisfied,"Harrow, Middx",24 September 2017
The telephone agent was friendly and dudnt quibble about price natching with a competitor and delivery drivers arrived spot on time and agsin did quibble about getting the bulky fridge freezer into my kitchen,2,2,07 September 2017,100%,OverallSatisfied,Newcastle upon Tyne,24 September 2017
No problems,2,2,07 September 2017,100%,OverallSatisfied,Tynemouth,23 September 2017
excellent service from company and fitting staff,2,2,07 September 2017,100%,OverallSatisfied,Frome,22 September 2017
Outstanding customer service. Fast delivery service. Easy to deal with internet site.ste,2,2,07 September 2017,100%,OverallSatisfied,Bath,22 September 2017
Just what I wanted,2,2,07 September 2017,100%,OverallSatisfied,Somerset,22 September 2017
Excellent experience and product thus far.,2,2,06 September 2017,90%,OverallSatisfied,Glasgow,26 September 2017
"Satisfaction with all the above so far. Thanks to ao.com and Belling!! The delivery men and fitters are friendly, professional and the time slots are convenient for the customer.",2,2,06 September 2017,100%,OverallSatisfied,Durham,26 September 2017
As above.,2,2,06 September 2017,100%,OverallSatisfied,Newark,25 September 2017
"There was very little to fault this transaction. communication was really
 
 clear with updates on every move. The delivery was on time and the packaging 

removed in a matter of minutes. Quick and cheerful.   Thank you",2,2,06 September 2017,90%,OverallSatisfied,Colchester,22 September 2017
See above,2,2,06 September 2017,90%,OverallSatisfied,Norwich,22 September 2017
had the product i wanted and delivered as promised,2,2,06 September 2017,90%,OverallSatisfied,london,22 September 2017
Every thing was good! I had no problems with AO,2,2,06 September 2017,80%,OverallSatisfied,Wolverhampton,22 September 2017
As it was nice an easy an I also got a call so that I was aware of the delivery an would like to biy another product ASAP.,2,2,06 September 2017,100%,OverallSatisfied,DEWSBURY,22 September 2017
As stated above very satisfiedMaureen,2,2,06 September 2017,100%,OverallSatisfied,Stoke on Trent,22 September 2017
Never had a single problem and everyone was very pleasant and nice on phone and product is exactly as it said.,2,2,06 September 2017,100%,OverallSatisfied,Falkland,21 September 2017
Delivery was quick and nothing broken.,2,2,06 September 2017,100%,OverallSatisfied,Brixham,21 September 2017
Keep you up-to-date throughout the buying and delivery process,2,2,05 September 2017,100%,OverallSatisfied,Slough,02 December 2017
as above,2,2,05 September 2017,90%,OverallSatisfied,whelley,16 November 2017
As above.,2,2,05 September 2017,100%,OverallSatisfied,Castleford,24 September 2017
As commented above.,2,2,05 September 2017,100%,OverallSatisfied,Plymouth,21 September 2017
Took my old appliance away free of charge,2,2,05 September 2017,90%,OverallSatisfied,Glasgow,21 September 2017
Service was as promised and love my American Fridge freezer,2,2,05 September 2017,0%,OverallSatisfied,Newhaven,21 September 2017
As above,2,2,05 September 2017,100%,OverallSatisfied,Coleford,21 September 2017
See above,2,2,05 September 2017,100%,OverallSatisfied,Chesterfield,21 September 2017
"I love my oven,  it came on time also I had ordered the wrong oven no problem AO took it away and delivered the one I wanted next day that's why I gave you 10/10",2,2,05 September 2017,100%,OverallSatisfied,Lincoln,21 September 2017
Good service staff pleasant,2,2,04 September 2017,100%,OverallSatisfied,Melksham,22 September 2017
Because you are a very professional business. I have been telling my family and friends who have not used you yet :),2,2,04 September 2017,100%,OverallSatisfied,,21 September 2017
Good all round experience from ordering to delivering,2,2,04 September 2017,100%,OverallSatisfied,Rotherham,21 September 2017
As above,2,2,04 September 2017,80%,OverallSatisfied,Redditch,21 September 2017
I am reluctant to go overboard when recommending someone. I merely tell them of my own experience and let them make up their own mind.,2,2,04 September 2017,80%,OverallSatisfied,"Small Dole, West Sussex.",20 September 2017
"Extremely easy to deal with,great web site and easy to navigate.
Also very competitive prices.",2,2,04 September 2017,100%,OverallSatisfied,Cumbernauld.,20 September 2017
It a very good hover lovely to use and exlecent cable on it,2,2,04 September 2017,100%,OverallSatisfied,Ferryhill,20 September 2017
Good service,2,2,04 September 2017,100%,OverallSatisfied,Carnoustie,19 September 2017
"A fitting which should have been easy, was not carried out. I was rescued by a relative who managed to move and fit the appliance no problem, yet your paid ''experts' couldn't be bothered to help me. I was unable to cook as the washer was dumped in front of the cooker. Terminally I'll, I was left distressed.",2,2,03 September 2017,70%,OverallSatisfied,Houghton-le-Spring,30 September 2017
"Everything as described, no hidden extras.",2,2,03 September 2017,100%,OverallSatisfied,Smalley,20 September 2017
Excellent from order to delivery.,2,2,03 September 2017,100%,OverallSatisfied,Durham,20 September 2017
Customer service was superb,2,2,03 September 2017,0%,OverallSatisfied,Swansea,20 September 2017
Well informed of deliver and very efficient,2,2,03 September 2017,100%,OverallSatisfied,Grantham,19 September 2017
"AO were helpful, and a second delivery date was quickly arranged.",2,2,03 September 2017,100%,OverallSatisfied,Gravesend,19 September 2017
Website easy to use. Ordering easy. Faultless communication throughout keeping me up to date with despatch and delivery info (was able to choose delivery day too). I used their app and was able to see 4 hr delivery window and also received a call from the driver when they were 20 minutes away. The drivers were very friendly and the item extremely well packaged. Not unpacked or used item yet as is for new kitchen currently being refitted so keeping it safely packaged.,2,2,03 September 2017,100%,OverallSatisfied,Street,19 September 2017
"Easy to order, first class prices, excellent delivery",2,2,03 September 2017,100%,OverallSatisfied,East Kilbride,19 September 2017
Best value and quick process BUT misleading to say next day or even same day delivery.  This is at further cost and not free,2,2,03 September 2017,80%,OverallSatisfied,Petersfield,18 September 2017
Because we couldn't fault any of the service we received,2,2,03 September 2017,100%,OverallSatisfied,Powys,18 September 2017
Love my new washing machine,2,2,03 September 2017,100%,OverallSatisfied,Axminster,18 September 2017
Because the customer service was just that they tried to make things as smoothly as possible,2,2,03 September 2017,100%,OverallSatisfied,Salisbury,18 September 2017
Service was good from placing the order to the very kind and helpful delivery men,2,2,03 September 2017,100%,OverallSatisfied,Kings Lynn,18 September 2017
They did what they said they would do to the letter,2,2,03 September 2017,100%,OverallSatisfied,Sutton Coldfield,18 September 2017
See above,2,2,02 September 2017,80%,OverallSatisfied,Children area,19 September 2017
Very helpful and don't sell us sum thing we did not need,2,2,02 September 2017,90%,OverallSatisfied,Crichton,19 September 2017
As the above brilliant service and fast delivery all good when your old appliance has gone bang,2,2,02 September 2017,100%,OverallSatisfied,Okehampton,19 September 2017
Reliable,2,2,02 September 2017,90%,OverallSatisfied,Doncaster,18 September 2017
Faultless and competitive.,2,2,01 September 2017,100%,OverallSatisfied,Freckleton,05 October 2017
Pricing and product range coupled with excellent customer service,2,2,01 September 2017,90%,OverallSatisfied,Ffestiniog,02 October 2017
Fast efficient service,2,2,01 September 2017,100%,OverallSatisfied,Swadlincote,22 September 2017
See above coment,2,2,01 September 2017,100%,OverallSatisfied,Nuneaton,19 September 2017
service was good,2,2,01 September 2017,100%,OverallSatisfied,South Shields,18 September 2017
See above,2,2,01 September 2017,80%,OverallSatisfied,Rotherham,18 September 2017
See above,2,2,01 September 2017,100%,OverallSatisfied,Ayr,17 September 2017
The ordering was easy and delivery was good in that you were kept informed of time of delivery,2,2,01 September 2017,100%,OverallSatisfied,Romford,16 September 2017
Delivery was on time  fitters were very eficent. And I rate the hob very good,2,2,01 September 2017,100%,OverallSatisfied,BOURNE,16 September 2017
So easy to order - great service.,2,2,01 September 2017,100%,OverallSatisfied,Eastbourne,16 September 2017
Because you deliver on time x,2,2,31 August 2017,100%,OverallSatisfied,St Helens,20 September 2017
"Good selection, good prices and prompt and easy delivery arrangements",2,2,31 August 2017,90%,OverallSatisfied,Wolverhampton,19 September 2017
As above. Also easy to find online.,2,2,31 August 2017,90%,OverallSatisfied,Bedford,18 September 2017
Lowest prices; delivery trackable and spot on time. Old cooker removed for free. Delivery men were pleasant and efficient.,2,2,31 August 2017,100%,OverallSatisfied,CAMBERLEY,17 September 2017
Everything went smoothly.,2,2,31 August 2017,90%,OverallSatisfied,Slough,16 September 2017
Great service great product,2,2,31 August 2017,100%,OverallSatisfied,MaNCHESTER,15 September 2017
"An engineer has attended to inspect the appliance & a new part apparently is on order, but to date I'm still waiting for the new part to arrive.",2,2,31 August 2017,0%,OverallUnhappy,Orpington,15 September 2017
See above.,2,2,31 August 2017,100%,OverallSatisfied,London,15 September 2017
"Delivery on time 
..",2,2,31 August 2017,100%,OverallSatisfied,Luton,15 September 2017
had no problems,2,2,30 August 2017,90%,OverallSatisfied,Thornton-Cleveleys,02 November 2017
Good service,2,2,30 August 2017,90%,OverallSatisfied,Banff,18 September 2017
AO did exactly what they said and more by using my old hose which was better quality than the new one. The also suggested that I could replace the plastic tap with a metal one the next time there  was a plumber in the house.,2,2,30 August 2017,100%,OverallSatisfied,Southampton,15 September 2017
From ordering (which was so easy) to delivery was smooth and no fuss.,2,2,30 August 2017,100%,OverallSatisfied,Blackburn,15 September 2017
It was great -? Your staff were superb and extremely helpf,2,2,30 August 2017,100%,OverallSatisfied,Deal Kent,14 September 2017
The service was second to non,2,2,30 August 2017,100%,OverallSatisfied,middlesbrough,14 September 2017
